,group,category,french_name,name,rating_quality,footprint
0,drinks,soft drinks,Boisson à l'amande,"Almond drink not sweet, not fortified, prepacked",2.21,0.37161937
1,drinks,soft drinks,"Jus de pomme, pur jus","Apple juice, pure juice",2.38,0.50060083
2,"fruits, vegetables, pulses and oilseeds",fruits,"Pomme Canada, pulpe, crue","Apple, Canada, pulp, raw",2.26,0.39651509
3,"fruits, vegetables, pulses and oilseeds",fruits,"Pomme, pulpe et peau, crue","Apple, pulp and peel, raw",2.07,0.39651509
4,"fruits, vegetables, pulses and oilseeds",fruits,"Pomme, pulpe, crue","Apple, pulp, raw",2.03,0.39651509
5,"fruits, vegetables, pulses and oilseeds",fruits,"Pomme Golden, pulpe et peau, crue","Apple, var. Golden, pulp and skin, raw",2.26,0.46210253
6,drinks,soft drinks,Nectar d'abricot,Apricot nectar,2.06316146127171,0.33195912
7,"fruits, vegetables, pulses and oilseeds",fruits,"Abricot au sirop léger, appertisé, non égoutté","Apricot, canned in light syrup, not drained",2.46,0.54492743
8,"fruits, vegetables, pulses and oilseeds",fruits,"Abricot au sirop, appertisé, non égoutté","Apricot, in syrup, canned, not drained",2.44,0.54492743
9,baby food,baby deserts,Petit pot fruit avec banane pour bébé,Baby food jar with banana,3.03,0.67214369
10,baby food,baby deserts,Petit pot fruit sans banane pour bébé,Baby food jar without banana,2.64,0.67214369
11,cereal products,bread and viennoiseries,Bagel,Bagel,1.95,0.78919318
12,drinks,soft drinks,Nectar de banane,Banana nectar,2.11186373104387,0.46752188
13,cereal products,flour and pie dough,Farine d'orge,Barley flour,2.43,0.71979208
14,cereal products,"pasta, rice and cereals","Orge entière, crue","Barley, whole, raw",2.55,0.78669561
15,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot mungo, sec","Beans, mung, mature, seeds, dry",3.35,0.67170957
16,"fruits, vegetables, pulses and oilseeds",vegetables,"Betterave rouge, crue","Beetroot, raw",2.6,0.3643211
17,drinks,soft drinks,"Thé noir, infusé, non sucré","Black tea, brewed, without sugar",3.06,0.039161353
18,drinks,soft drinks,"Boisson à l'eau minérale ou de source, aromatisée, sucrée","Bottled water, flavoured, w sugar",2.97,0.38633289
19,drinks,soft drinks,"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant","Bottled water, flavoured, without sugar and artificial sweeteners",2.97,0.38633289
20,drinks,soft drinks,"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants","Bottled water, flavoured, without sugar and with artificial sweeteners",2.97,0.38633289
21,cereal products,bread and viennoiseries,Pain au son,Bran grain bread,1.95,0.62883948
22,cereal products,bread and viennoiseries,"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)","Bread (baguette or ball), made with type T55-T110 flour",1.95,0.737473
23,cereal products,bread and viennoiseries,"Pain, baguette ou boule, au levain","Bread, French bread (baguette or ball), with yeast",1.95,0.6599294
24,cereal products,bread and viennoiseries,"Pain, baguette, courante","Bread, French bread, baguette",1.95,0.68666587
25,cereal products,bread and viennoiseries,"Pain, baguette, de tradition française","Bread, French bread, baguette, unsalted",1.95,0.68666587
26,cereal products,bread and viennoiseries,"Pain courant français, 400g ou boule","Bread, French bread, ball, 400g",1.95,0.68666587
27,cereal products,bread and viennoiseries,"Pain, baguette, sans sel","Bread, French bread, without salt",2.34,0.68666587
28,cereal products,bread and viennoiseries,Pain blanc maison (avec farine pour machine à pain),"Bread, home-made, with flour for home-made bread preparation",1.95,0.68666587
29,cereal products,bread and viennoiseries,Pain complet ou intégral (à la farine T150),"Bread, wholemeal or integral bread (made with flour type 150)",1.95,0.68858077
30,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Fruit à pain, cru","Breadfruit, raw",2.6,0.42500525
31,"fruits, vegetables, pulses and oilseeds",pulses,"Fève, cuite","Broad bean, cooked",3.01,0.41844255
32,"fruits, vegetables, pulses and oilseeds",pulses,"Fève, fraîche, surgelée","Broad bean, fresh, frozen",3.16,0.50378806
33,"fruits, vegetables, pulses and oilseeds",pulses,"Fève, surgelée, cuite à l'eau","Broad bean, frozen, water boiled",3.16,0.50378806
34,"fruits, vegetables, pulses and oilseeds",pulses,"Fève, pelée, surgelée, cuite à l'eau","Broad bean, without peal, frozen, water boiled",3.16,0.50378806
35,starters and mixed dishes,soups,"Bouillon de boeuf, déshydraté reconstitué","Broth, stock or bouillon, beef",2.13354459850019,0.14308862
36,starters and mixed dishes,soups,Bouillon de volaille,"Broth, stock or bouillon, poultry",2.11105494130978,0.13348626
37,starters and mixed dishes,soups,"Bouillon de légumes, déshydraté reconstitué","Broth, stock or bouillon, vegetables",2.11,0.13199186
38,cereal products,bread and viennoiseries,"Pain, baguette ou boule, bis (à la farine T80 ou T110)","Brown bread, French bread (baguette or ball), with flour type 80 or 110",2.34,0.68666587
39,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou de Bruxelles, cru","Brussels sprout, raw",2.6,0.57581867
40,"fruits, vegetables, pulses and oilseeds",vegetables,"Haricot beurre, cru","Butter bean or yellow bean, raw",2.38,0.5056327
41,"fruits, vegetables, pulses and oilseeds",fruits,"Carambole, pulpe, crue","Carambola, pulp, raw",3.12,0.5330489
42,"fruits, vegetables, pulses and oilseeds",vegetables,"Cardon, cru","Cardoon, raw",2.6,0.75635927
43,drinks,soft drinks,"Jus de carotte, pur jus","Carrot juice, pure juice",2.08970536868115,0.34938729
44,"fruits, vegetables, pulses and oilseeds",vegetables,"Carotte, surgelée, crue","Carrot, frozen, raw",2.7,0.73471505
45,"fruits, vegetables, pulses and oilseeds",vegetables,"Carotte, crue","Carrot, raw",2.15,0.3643211
46,"fruits, vegetables, pulses and oilseeds",vegetables,"Carotte, purée","Carrots, puree",2.78,0.66622288
